filename,line_count,date_guess,status_heuristic,purpose_headline
TABLE_GENERATION_EXECUTION_2026-02-13.md,99,2026-02-13),UNKNOWN,Table Generation Execution (2026-02-13)
TABLE_SPEC_GAP_AUDIT_2026-02-13.md,96,2026-02-13),UNKNOWN,Table Spec Gap Audit (2026-02-13)
TABLE_SPEC_MATRIX_2026-02-13.md,119,2026-02-13),UNKNOWN,Table Specification Matrix (2026-02-13)
TASK_CLAIMS.md,56,date this file before starting any task,UNKNOWN,SPRINT 10 TASK CLAIMS
TA_HANDOFF_CHECKLIST.md,20,,UNKNOWN,TA Handoff Checklist — Article Eater v20.x
TECHNICAL_DEBT_ROADMAP.md,87,"February 8, 2026*",UNKNOWN,Technical Debt Roadmap
THEORY_HIERARCHY_AND_MECHANISMS.md,602,"Version 1.1 — February 20, 2026**",UNKNOWN,Article Eater: Theory Hierarchy and Mechanisms
THEORY_TIER_ARCHITECTURE_V1.0_2026-02-14.md,388,"Version 1.0 — February 14, 2026",UNKNOWN,Theory Tier Architecture for Cognitive Neuroarchitecture
THREAT_MODEL_v1.md,117,,UNKNOWN,Threat Model v1 – Article Eater
TIER2_DECISIONS_LOG.md,487,"February 14, 2026",UNKNOWN,Epistemic Tier 2 — Implementation Decisions Log
TODO_IMPORT_PDFPLUMBER_PREPROCESS_2026-02-14.md,37,Date: 2026-02-14,UNKNOWN,TODO: Import-Time PDFPlumber Preprocess (Deferred)
TOP_25_CROSS_REPO_TERMINOLOGY_COLLISIONS_2026-02-15.md,41,Date: 2026-02-15,UNKNOWN,Top 25 Highest-Risk Cross-Repo Terminology Collisions
TOULMIN_CAPTURE_INTERIM.md,90,"February 22, 2026",SUPERSEDED_OR_CAUTION,TOULMIN RAW MATERIAL CAPTURE — INTERIM INSTRUCTION
TOULMIN_SPRINT_TASK_BRIEF.md,457,"February 22, 2026",UNKNOWN,TOULMIN JUSTIFICATION LAYER — CC SPRINT TASK BRIEF
TRANSFER_Feb21_Session6.md,334,"February 21, 2026, Session 6",CURRENT,TRANSFER DOCUMENT: CMR / Article Eater / IE-DPT Project
TRANSFER_Feb21_Session7.md,296,"February 21, 2026, Session 7",CURRENT,TRANSFER DOCUMENT: CMR / Article Eater / IE-DPT Project
TRANSFER_Feb21_Session8.md,519,"February 21, 2026, Session 8",CURRENT,TRANSFER DOCUMENT: CMR / Article Eater / IE-DPT Project
TRANSFER_Feb21_Session8_CORRECTED.md,437,"February 22, 2026, Session 8 CORRECTED",CURRENT,TRANSFER DOCUMENT: CMR / Article Eater / IE-DPT Project
TRANSFER_IE_DPT_Theory_Tiers_Feb20.md,273,"February 20, 2026",CURRENT,TRANSFER DOCUMENT: IE-DPT & Theory Tier Architecture
TRANSFER_IE_DPT_Theory_Tiers_Feb21.md,487,"February 21, 2026",CURRENT,TRANSFER DOCUMENT: IE-DPT & Theory Tier Architecture
TRANSLATION_QUALITY_METHOD.md,133,Date: 2026-02-16,UNKNOWN,Translation Quality Method (Qualification + Mapper Upgrade)
Triage_Policy_HighRecall_v18_3.md,6,2025-11-14,UNKNOWN,Triage Policy — High Recall (v18.3) — 2025-11-14
UNIFIED_VARIABLE_VOCAB_TABLE_2026-02-15.md,611,2026-02-15.csv`,UNKNOWN,Unified Variable Vocabulary Table (Cross-Repo)
UNIFIED_VARIABLE_VOCAB_TABLE_CROSS_REPOS_2026-02-15.md,241,2026-02-15.csv`,UNKNOWN,"Unified Variable Vocabulary Table (Cross-Repo, Semantic Filtered)"
UPDATE_SAFE.md,31,date Procedure (Governance-Compliant),UNKNOWN,Safe Update Procedure (Governance-Compliant)
USABILITY_LOGGING.md,243,,UNKNOWN,Usability & Interaction Logging (ui_events)
USAGE.md,13,,UNKNOWN,Usage overview
USER_GUIDE_CAUSAL_BRIDGE.md,354,Version: ECB-3 (2026-02-10)*,UNKNOWN,User Guide: Epistemic-Causal Bridge
UX_Additions_v18_3.md,5,,UNKNOWN,UX Additions (v18.3)
Upgrade_Guide_v20.0.md,21,,SUPERSEDED_OR_CAUTION,Upgrade Guide — v20.0
VISUAL_I_Panel_Output_Feb21.md,1357,"Date: February 21, 2026",UNKNOWN,VISUAL-I EXPERT PANEL OUTPUT: VISUAL COGNITION AND ARCHITECTURAL FORM
WEB_BN_HISTORICAL_REPROCESS_REPORT_2026-02-14.md,66,2026-02-14),UNKNOWN,Web/BN Historical Reprocess Report (2026-02-14)
WEB_BN_STABILIZATION_REPORT_2026-02-14.md,53,2026-02-14),UNKNOWN,Web/BN Stabilization Report (2026-02-14)
Wizard_Flow_v18_3.md,6,,UNKNOWN,Guided Wizard Flow (v18.3)
adversarial_review_prompt.md,314,,UNKNOWN,ADVERSARIAL EXPERT REVIEW: ARTICLE EATER SYSTEM
ag6_template_id_audit_2026-02-16.md,38,2026-02-16),UNKNOWN,AG6 Template ID Canonicalization Audit (2026-02-16)
antigravitys report to claude.md,51,Date:** 2026-02-15,UNKNOWN,Test Suite Fix Report (Sprint 0.0)
api_specification.md,125,Date: 2026-02-16,UNKNOWN,Theory Tier Module API Specification
article_type_tables_and_fields_reference.md,97,2026-02-17,UNKNOWN,Article Type Tables and Fields Reference
belief_value_analysis.md,129,2026-02-22,UNKNOWN,Belief Value Analysis
bn_causal_inference_requirements.md,33,,UNKNOWN,Bayesian Network Success Conditions for Judea Pearl's Causal Algorithms
cross_repo_contract_v2.md,115,Date: 2026-02-16,UNKNOWN,Cross-Repo Contract v2: Theory Tier Integration
cx5_light_template_encoder_guide.md,168,Date: 2026-02-16,UNKNOWN,CX-5 Light Template Encoder Guide (L1-L5)
cx5_mat_i_type_review_2026-02-16.md,30,Date: 2026-02-16,UNKNOWN,CX-5 MAT-I Type Review (Doc 37)
cx5_template_compatibility_report.md,103,date (UTC): 2026-02-16T13:11:55.546Z,UNKNOWN,CX-5 Template Contract Compatibility Report
cx_v10_bidirectional_audit_report_2026-02-17.md,15,2026-02-17T00:29:03.928Z,UNKNOWN,CX V10 Bidirectional Interaction Audit
cx_v10_schema_validation_report_2026-02-17.md,36,2026-02-17T00:19:41.597Z,UNKNOWN,CX V10 Schema Validation Report
cx_v12_bidirectional_audit_report_2026-02-17.md,14,2026-02-17T07:52:06.897731+00:00,UNKNOWN,CX V12 Bidirectional Interaction Audit
cx_v12_schema_validation_report_2026-02-17.md,34,2026-02-17T07:52:06.896937+00:00,UNKNOWN,CX V12 Schema Validation Report
cx_v14_lifespan_ucurve_validation_report_2026-02-17.md,47,2026-02-17T07:58:28.278Z,UNKNOWN,CX V14 Lifespan U-Curve Validation Report
cx_v14_lifespan_validation_report_2026-02-17.md,18,2026-02-19T20:08:31.697Z,UNKNOWN,CX V14 Lifespan Validation Report
cx_v14_runtime_checks_report_2026-02-17.md,19,2026-02-19T20:08:31.762Z,UNKNOWN,CX V14 Runtime Checks Report
cx_v14_school_mode_audit_report_2026-02-17.md,46,2026-02-17T07:58:28.355Z,UNKNOWN,CX V14 School Mode Activation Audit
cx_v15_vf_crea_chain_validation_report_2026-02-17.md,21,2026-02-17T21:21:23.929Z,UNKNOWN,CX V15 VF->CREA Chain Validation Report
cx_v15_vf_crea_chain_validation_report_2026-02-19.md,21,2026-02-19T20:08:31.819Z,UNKNOWN,CX V15 VF->CREA Chain Validation Report
evidence_gap_map.md,52,2026-02-17T23:28:06.653078+00:00,UNKNOWN,Evidence Gap Map
exemplar_panel_criteria.md,34,,CURRENT,Criteria of Excellence: Exemplar Panel Reports
extraction_theory_interface.md,45,"February 16, 2026",UNKNOWN,Extraction-to-Theory Interface Specification (CX-4b)
extraction_validation_report.codex_candidate_v2.md,31,date v2),UNKNOWN,Extraction Validation Report (Codex Candidate v2)
extraction_validation_report.md,43,Date:** 2026-02-20 19:38:48.401545,UNKNOWN,Extraction Validation Report
full_csv_audit_report.md,53,,UNKNOWN,Sprint D.4: Full CSV Audit Report
gap_analysis_v1.md,48,2026-02-17,UNKNOWN,
gap_registry_report.md,187,,UNKNOWN,Gap Registry Triage Report
mechanism_qa_future_todos.md,63,,UNKNOWN,Mechanism QA — Future To-Do List
opus_data_audit.md,3704,,SUPERSEDED_OR_CAUTION,
paper_eval_todo.md,7,,UNKNOWN,Paper Evaluation Orchestrator Improvements (Post-Sprint)
seven_panel_reference_classification_2026-02-20.md,85,2026-02-20),UNKNOWN,Seven Panel Reference Classification (2026-02-20)
sprint11_18_validation_sweep_report.md,45,2026-02-17T18:04:36.810838+00:00,UNKNOWN,Sprint 11.18 Paper Eval Validation Sweep
sprint11_5_worked_examples_report.md,66,,UNKNOWN,Sprint 11 Task 11.5 Worked Example Rerun
sprint1_enum_reconciliation.md,254,"Version 1.0 — February 15, 2026",UNKNOWN,Sprint 1.2-1.3: Enum Reconciliation Proposal
sprint7_5_template_extraction_inventory.md,54,"February 15, 2026",UNKNOWN,Preliminary Template Extraction Inventory (Sprint 7.5 Prep)
sprint_d_production_readiness_codex_2026-02-19.md,83,2026-02-19,UNKNOWN,Sprint D Production Readiness (Codex Candidate)
sprint_d_validation_report.md,67,2026-02-19T00:58 CET,UNKNOWN,SPRINT D VALIDATION REPORT
system_health_after_fallback_bn.md,36,2026-02-20T19:38:54.244048+00:00,UNKNOWN,AESHI System Health Report
system_health_report.md,36,2026-02-20T20:00:20.709001+00:00,UNKNOWN,AESHI System Health Report
system_health_report_after_handoff.md,36,2026-02-20T23:11:56.432335+00:00,UNKNOWN,AESHI System Health Report
system_health_report_after_p1.md,36,2026-02-20T22:46:30.888513+00:00,UNKNOWN,AESHI System Health Report
system_health_report_after_p2.md,36,2026-02-20T22:47:16.584476+00:00,UNKNOWN,AESHI System Health Report
system_health_report_after_p3.md,36,2026-02-20T23:11:10.902105+00:00,UNKNOWN,AESHI System Health Report
system_health_report_after_p8.md,36,2026-02-21T01:25:07.343557+00:00,UNKNOWN,AESHI System Health Report
system_health_report_app_streamlit_db_contracts_2026-02-20.md,36,2026-02-20T20:05:02.239440+00:00,UNKNOWN,AESHI System Health Report
system_health_report_final.md,33,,UNKNOWN,Web metrics:
tier2_construct_map_preliminary.md,38,,UNKNOWN,Preliminary Tier 2 Construct -> Tier 1 Template Map
web_edge_types_and_mechanisms.md,76,,UNKNOWN,"Web of Belief: Edges, Mechanisms, and Neural Representations"
web_health_diagnostic_spec.md,255,,UNKNOWN,Article Eater: Comprehensive Web-of-Belief Health Diagnostic
web_health_external_pilot_baseline.md,28,2026-02-19T14:13:54.529124+00:00,UNKNOWN,Web Health Report Post Rebuild (D.11)
web_health_external_pilot_with_overrides.md,28,2026-02-19T14:13:54.525123+00:00,UNKNOWN,Web Health Report Post Rebuild (D.11)
web_health_report_2026-02-20_populated.md,17,,UNKNOWN,Web Health Diagnostic Report - Final
web_health_report_post_rebuild.codex_candidate.md,27,2026-02-19T12:54:32.859515+00:00,UNKNOWN,Web Health Report Post Rebuild (D.11)
web_health_report_post_rebuild.codex_direction_safe.md,27,2026-02-19T13:18:48.398449+00:00,UNKNOWN,Web Health Report Post Rebuild (D.11)
web_health_report_post_rebuild.codex_hard_direction.md,28,2026-02-19T13:53:35.861541+00:00,UNKNOWN,Web Health Report Post Rebuild (D.11)
web_health_report_post_rebuild.codex_release_candidate.md,27,2026-02-19T13:04:14.277913+00:00,UNKNOWN,Web Health Report Post Rebuild (D.11)
web_health_report_post_rebuild.md,28,2026-02-21T15:05:42.808451+00:00,UNKNOWN,Web Health Report Post Rebuild (D.11)
web_health_stress_baseline.md,19,2026-02-20T22:48:33.088913+00:00,UNKNOWN,WebOfBelief Stress Baseline
web_of_belief_health_report.md,12,,UNKNOWN,Sprint D.9: Web of Belief Health Report
